 Above Good and Evil,
 Beware the Honest Ones,
 All Work vs. All Play,
 Cute Bookworm,
 Hidden Depths,
 Chronic Hero Syndrome,
 Dark and Troubled Past,
 Cop on the Take,
 Embarrassing Nickname,
 Fatal Flaw,
 Going Down with the Ship,
 Hates Being Touched,
 Grow a Pair,
 No Talent But High Hopes,
 Holiness Burns Evil,
 I Yam What I Yam,
 Jane of All Trades,
 Immortals Fear Death,
 Kick the Morality Pet,
 Lawful Stupid,
 Pacifist,
 No Sense of Humor,
 Odd Couple,
 Machine Empathy,
 Raised by Wolves,
 Queen in Hiding,
 Signature Roar,
 Always Prepared,
 Undying Loyalty,
 Villain Has a Point
