 Fable,
 Literary Fiction,
 Horror,
 Tall Tale,
 Mystery,
 Gentle Fiction,
 Fairytale,
 Historical Fiction,
 Fantasy,
 Hurt/Comfort ,
 Drama,
 Science Fiction,
 Mythology,
 Adventure,
 Humor,
 Biography / Autobiography,
 Romance,
 Young Adult,
 Satire,
 Cautionary Tale,
 Memoir,
 Experimental Fiction,
 Thriller,
 Pulp Fiction,
 Saga,
 Religious Fiction,
 Cyberpunk,
 Postapocalyptic,
 Alternative Universe,
 Paranormal
